,id,name,producer,nation,local1,local2,local3,local4,varieties1,varieties2,varieties3,varieties4,varieties5,varieties6,varieties7,varieties8,varieties9,varieties10,varieties11,varieties12,type,use,abv,degree,sweet,acidity,body,tannin,price,year,ml
5918,147274,"Chateau Coupe Rose, La Bastide",Chateau Coupe Rose,France,Southern France,Languedoc Roussillon,Minervois,,Carignan,Grenache,Syrah & Shiraz,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY4,TANNIN4,0,2007,750
5919,147275,"Chateau Coupe Rose, Cuvee Vignals",Chateau Coupe Rose,France,Southern France,Languedoc Roussillon,Minervois,,Syrah & Shiraz,Grenache,Carignan,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY4,TANNIN3,0,2005,750
5921,147281,"Di Lenardo, Merlot",Di Lenardo,Italy,,,,,Merlot,,,,,,,,,,,,Red,Table,13,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,0,2008,750
5922,147282,"Di Lenardo, Cabernet",Di Lenardo,Italy,Friuli Venezia Giulia,,,,Cabernet Sauvignon,,,,,,,,,,,,Red,Table,13,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2007,750
5923,147283,"Fernando Remirez de Ganuza, Trasnocho",REMIREZ DE GANUZA Fernando Remirez  de Ganuza,Spain,Rioja,,,,Tempranillo,Graciano,,,,,,,,,,,Red,Table,14,16~18,SWEET1,ACIDITY4,BODY5,TANNIN5,300000,2005,750
5924,147284,"Fernando Remirez de Ganuza, Remirez de Ganuza Reserva",REMIREZ DE GANUZA Fernando Remirez  de Ganuza,Spain,Rioja,,,,Tempranillo,Graciano,,,,,,,,,,,Red,Table,14,16~18,SWEET1,ACIDITY3,BODY5,TANNIN3,216000,2006,750
5927,147288,"Giaconda, Warner Vineyard Shiraz",Giaconda Estate,Australia,Victoria,,,,Syrah & Shiraz,Rousaanne,,,,,,,,,,,Red,Table,13.5,16~18,SWEET1,ACIDITY4,BODY5,TANNIN5,260000,2006,750
5928,147289,"Giaconda, Nantua Vineyard Pinot Noir",Giaconda Estate,Australia,Victoria,,,,Pinot Noir,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY4,BODY2,TANNIN2,0,2006,750
5930,147291,"Maison Champy, Romanee St. Vivant Grand Cru",Maison Champy,France,Bourgogne,Cote de Nuits,VosneRomanee,,Pinot Noir,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY4,BODY3,TANNIN2,0,2001,750
5931,147292,"Maison Champy, Clos Saint Denis Grand Cru",Maison Champy,France,Bourgogne,Cote de Nuits,MoreyStDenis,,Pinot Noir,,,,,,,,,,,,Red,Table,13.5,15~17,SWEET1,ACIDITY4,BODY3,TANNIN2,0,2001,750
5933,147294,"Mommessin, St. Amour Les Pecheurs",Mommessin,France,Bourgogne,Beaujolais,,,Gamay,,,,,,,,,,,,Red,Table,13,12~14,SWEET1,ACIDITY4,BODY2,TANNIN2,0,2007,750
5934,147295,"Mommessin, Morgon Les Griottes",Mommessin,France,Bourgogne,Beaujolais,,,Gamay,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY4,BODY2,TANNIN2,0,2007,750
5935,147296,"Mommessin, Beaujolais Grande Reserve Red",Mommessin,France,Bourgogne,Beaujolais,,,Gamay,,,,,,,,,,,,Red,Table,12,13~15,SWEET1,ACIDITY4,BODY2,TANNIN2,0,2007,750
5937,147298,"Peter Michael, Les Pavots Red Blend",Peter Michael Winery,USA,California,Sonoma County,Knights Valley,,Cabernet Sauvignon,Cabernet Franc,Merlot,Petit Verdot,,,,,,,,,Red,Table,15.1,16~18,SWEET1,ACIDITY4,BODY5,TANNIN4,594000,2016,750
5942,147304,"Trabucchi, Amarone della Valpolicella",Trabucchi,Italy,Veneto,Valpolicella,,,Corvina,Rondinella,Corvinone,,,,,,,,,,Red,Table,15,16~18,SWEET2,ACIDITY3,BODY5,TANNIN3,0,2003,750
5943,147305,"Trabucchi, Valpolicella Superiore ",Trabucchi,Italy,Veneto,,,,Corvina,Rondinella,Corvinone,,,,,,,,,,Red,Table,14.5,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,0,2005,750
5944,147306,Massolino Dolcetto d'Alba,Massolino,Italy,Piemonte,Alba,,,Dolcetto,,,,,,,,,,,,Red,Table,13~14,18~20,SWEET1,ACIDITY3,BODY3,TANNIN2,0,2016,750
5945,147307,"Rivetto, Dolcetto d'Alba 'Ercolino'",Rivetto,Italy,Piemonte,Alba,,,Dolcetto,,,,,,,,,,,,Red,Table,14,16~17,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2012,750
5946,147308,"Gomba, Barolo Sori",Gomba Azienda agricola Gomba Boschetti,Italy,Piemonte,Barolo,,,Nebbiolo,,,,,,,,,,,,Red,Table,14.5,16~18,SWEET1,ACIDITY4,BODY3,TANNIN4,0,2009,750
5947,147309,"Marcarini, Barolo La Serra",Marcarini,Italy,Piemonte,Barolo,,,Nebbiolo,,,,,,,,,,,,Red,Table,14.5,16~18,SWEET1,ACIDITY4,BODY3,TANNIN5,0,2014,750
