,id,name,producer,nation,local1,local2,local3,local4,varieties1,varieties2,varieties3,varieties4,varieties5,varieties6,varieties7,varieties8,varieties9,varieties10,varieties11,varieties12,type,use,abv,degree,sweet,acidity,body,tannin,price,year,ml
10530,153251,"Faiveley, Mercurey Clos du Roy 1er Cru",Faiveley Domaine Faiveley,France,Bourgogne,Cote Chalonnaise,Mercurey,,Pinot Noir,,,,,,,,,,,,Red,Table,13,16~18,SWEET1,ACIDITY4,BODY3,TANNIN2,100000,2016,750
10535,153259,"Faiveley, Chambolle Musigny 1er Cru 'Les Charmes'",Faiveley Domaine Faiveley,France,Bourgogne,Cote de Nuits,Chambolle Musigny,,Pinot Noir,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY4,BODY3,TANNIN2,0,2017,750
10536,153261,"Faiveley, Chambolle Musigny 1er Cru 'Beaux Bruns'",Faiveley Domaine Faiveley,France,Bourgogne,Cote de Nuits,Chambolle Musigny,,Pinot Noir,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY5,BODY4,TANNIN2,0,2017,750
10539,153273,"Domaine de la Romanee-Conti, Corton",Romanee Conti Domaine de la Romanee Conti,France,Bourgogne,Cote de Beaune,AloxeCorton,,Pinot Noir,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY4,TANNIN3,0,2016,750
10542,153280,"Domane Anne Francois Gros, RICHEBOURG GRAND CRU",AF Gros Domane Anne Francois Gros,France,Bourgogne,Cote de Nuits,,,Pinot Noir,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY4,BODY3,TANNIN3,705000,2006,750
10543,153281,"Pierre Ferraud, Beaujolais Village ?쁋es Merrains",Pierre Ferraud et Fils,France,Bourgogne,Beaujolais,,,Gamay,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY4,BODY2,TANNIN2,30000,2011,750
10545,153289,"Chateau de Beaucastel, Hommage a Jacques Perrin ",Chateau de Beaucastel,France,Rhone,ChateauneufduPape,,,mourvedre,Syrah & Shiraz,Grenache,Counoise,,,,,,,,,Red,Table,,,SWEET1,ACIDITY4,BODY4,TANNIN3,0,2015,750
10546,153290,"Chateau de Beaucastel, Hommage a Jacques Perrin Grande Cuvee",Chateau de Beaucastel,France,Rhone,,,,mourvedre,Syrah & Shiraz,Grenache,Counoise,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY4,TANNIN3,0,2010,750
10548,153297,"Perrin & Fils, La Ferme Julien Rouge",Famille Perrin,France,Rhone,,,,Grenache,Syrah & Shiraz,Carignan,Cinsault,,,,,,,,,Red,Table,,,SWEET1,ACIDITY4,BODY3,TANNIN3,25000,2012,750
10555,153316,Chateau Clarke,Baron Edmond de Rothschild  E Rothchild,France,Bordeaux,ListracMedoc,,,Cabernet Sauvignon,Merlot,Cabernet Franc,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY4,BODY4,TANNIN3,80000,2015,750
10557,153327,Chateau Lagrange,Chateau Lagrange Grand Cru Classe3rd Cru,France,Bordeaux,SaintJulien,,,Cabernet Sauvignon,Merlot,Petit Verdot,,,,,,,,,,Red,Table,13~14,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,100000,2017,750
10559,153339,"Frescobaldi, AMMIRAGLIA",Frescobaldi,Italy,Toscana,,,,Syrah & Shiraz,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY4,BODY4,TANNIN3,137000,2013,750
10560,153341,Castellare Baffonero,Castellare di Castellina,Italy,Toscana,,,,Merlot,,,,,,,,,,,,Red,Table,14~15,16~18,SWEET1,ACIDITY3,BODY5,TANNIN4,494000,2013,750
10561,153342,"Feudi del Pisciotto, Brioni",Feudi del Pisciotto,Italy,Sicilia,,,,Frappato,,,,,,,,,,,,Red,Table,13~14,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,66000,2012,750
10562,153343,"Feudi Del Pisciotto, Missoni",Feudi del Pisciotto,Italy,Sicilia,,,,Cabernet Sauvignon,,,,,,,,,,,,Red,Table,14~15,16~18,SWEET1,ACIDITY3,BODY3,TANNIN4,66000,2015,750
10563,153344,"Feudi Del Pisciotto, Valentino",Feudi del Pisciotto,Italy,Sicilia,,,,Merlot,,,,,,,,,,,,Red,Table,14,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,66000,2015,750
10565,153355,"Fattoria Nittardi, Chianti Classico Riserva",Fattoria Nittardi,Italy,Toscana,Chianti,,,Sangiovese,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY4,BODY4,TANNIN4,75000,2008,750
10569,153370,"Torres, Reserva Real",Torres Miguel Torres  Spain,Spain,Penedes,,,,Cabernet Sauvignon,Cabernet Franc,Merlot,,,,,,,,,,Red,Table,13~14,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,0,2010,750
10572,153389,"Torres, Atrium Cabernet Sauvignon ",Torres Miguel Torres  Spain,Spain,Penedes,,,,Cabernet Sauvignon,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY4,BODY3,TANNIN3,31000,2009,750
10574,153397,Chateau Latour,Chateau Latour 1st Grand Cru Classe,France,Bordeaux,Pauillac,,,Cabernet Sauvignon,Merlot,Cabernet Franc,Petit Verdot,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY5,TANNIN4,1200000,2017,750
10575,153400,Chateau Lynch Moussas,Chateau LynchMoussas Grand Cru Classe5th Cru,France,Bordeaux,Pauillac,,,Cabernet Sauvignon,Merlot,,,,,,,,,,,Red,Table,13~14,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,85000,2017,750
10576,153402,Chateau Maucaillou,Chateau Maucaillou,France,Bordeaux,Moulis,,,Cabernet Sauvignon,Merlot,Petit Verdot,Cabernet Franc,,,,,,,,,Red,Table,,,SWEET1,ACIDITY4,BODY4,TANNIN5,0,2015,750
10577,153419,"Jean Leon, Cabernet Sauvignon Gran Reserva",Jean Leon,Spain,Penedes,,,,Cabernet Sauvignon,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY4,TANNIN3,0,2011,750
10578,153420,"Vega Sicilia, Valbuena No.5 Reserva",Vega Sicilia,Spain,Ribera del Duero,,,,Tempranillo,Merlot,Malbec,,,,,,,,,,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY5,TANNIN4,350000,2007,750
10579,153422,"Vega Sicilia, Pintia",Vega Sicilia,Spain,Toro,,,,Tempranillo,,,,,,,,,,,,Red,Table,15,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,125000,2012,750
10581,153431,"Marimar, LA Masia Pinot noir",Marimar Estate Marimar Torres,USA,California,,,,Pinot Noir,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY4,BODY3,TANNIN3,127000,2014,750
10583,153434,"Robert Mondavi, Momentum",Robert Mondavi,USA,California,,,,Blend,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY4,BODY4,TANNIN4,0,2009,750
10584,153435,Robert Mondavi Private Selection Meritage,Robert Mondavi,USA,California,,,,Merlot,Malbec,Cabernet Sauvignon,Cabernet Franc,Petit Verdot,,,,,,,,Red,Table,14~15,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,45000,2016,750
10586,153438,"Catena Zapata, Alamos Cabernet Sauvignon",Catena Zapata,Argentina,Mendoza,,,,Cabernet Sauvignon,,,,,,,,,,,,Red,Table,13~14,17~20,SWEET1,ACIDITY3,BODY4,TANNIN3,26000,2018,750
10587,153441,"Miguel Torres, Conde de Superunda ",Miguel Torres,Chile,Curico Valley,,,,Cabernet Sauvignon,Tempranillo,Monastrell,Carmenere,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY5,TANNIN4,114000,2013,750
10588,153442,Miguel Torres Cordillera Syrah,Miguel Torres,Chile,Maule Valley,,,,Syrah & Shiraz,,,,,,,,,,,,Red,Table,14~15,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,0,2016,750
10591,153445,"Miguel Torres, Las Mulas Cabernet Sauvignon ",Miguel Torres,Chile,Curico Valley,,,,Cabernet Sauvignon,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY3,TANNIN3,25000,2011,750
10593,153449,"Miguel Torres, Hemisferio Reserva Cabernet Sauvignon ",Miguel Torres,Chile,Curico Valley,,,,Cabernet Sauvignon,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY3,TANNIN4,0,2016,750
10596,153452,"Miguel Torres, Hemisferio Reserva Carmenere ",Miguel Torres,Chile,Curico Valley,,,,Carmenere,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2017,750
10599,153460,"Rosemount, Road Shiraz",Rosemount,Australia,South Australia,,,,Syrah & Shiraz,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY4,BODY3,TANNIN3,30000,2012,750
10600,153461,"Rosemount, Roseglen Shiraz",Rosemount,Australia,South Australia,,,,Syrah & Shiraz,,,,,,,,,,,,Red,Table,,,SWEET2,ACIDITY3,BODY3,TANNIN4,23000,2014,750
10602,153463,"Rosemount, Diamond Cellar Cabernet Merlot",Rosemount,Australia,South Australia,,,,Cabernet Sauvignon,Merlot,,,,,,,,,,,Red,Table,14,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,31000,2012,750
10603,153464,"Catena Zapata, Nicolas Catena Zapata",Catena Zapata,Argentina,Mendoza,,,,Cabernet Sauvignon,Malbec,,,,,,,,,,,Red,Table,14~15,17~20,SWEET1,ACIDITY3,BODY5,TANNIN5,220000,2014,750
10604,153465,"Catena Zapata, Argentino Malbec",Catena Zapata,Argentina,Mendoza,,,,Malbec,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY4,BODY5,TANNIN4,0,2015,750
10605,153466,"Catena Zapata, NICASIA MALBEC",Catena Zapata,Argentina,Mendoza,,,,Malbec,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY5,TANNIN5,186000,2014,750
10609,153470,"Catena Zapata, UXMAL MALBEC",Catena Zapata,Argentina,Mendoza,,,,Malbec,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY4,TANNIN3,0,2018,750
10610,153471,"Catena Zapata, UXMAL CABERNET SAUVIGNON",Catena Zapata,Argentina,Mendoza,,,,Cabernet Sauvignon,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY4,TANNIN4,0,2018,750
10612,153473,"Catena Zapata, EL GRAN ENEMIGO",Catena Zapata,Argentina,Mendoza,,,,Cabernet Sauvignon,Cabernet Franc,Petit Verdot,Malbec,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY5,TANNIN5,203000,2013,750
10613,153474,"Catena Zapata, LUCA BESO DE DANTE",Catena Zapata,Argentina,Mendoza,,,,Blend,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY4,TANNIN4,85000,2009,750
10614,153475,"Catena Zapata, LUCA MALBEC",Catena Zapata,Argentina,Mendoza,,,,Malbec,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY4,TANNIN3,71000,2016,750
10615,153476,"Catena Zapata, LUCA PINOT NOIR",Catena Zapata,Argentina,Mendoza,,,,Pinot Noir,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY4,BODY3,TANNIN2,65000,2015,750
10616,153477,Catena Zapata Luca Syrah,Catena Zapata,Argentina,Mendoza,,,,Syrah & Shiraz,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY4,TANNIN4,65000,2015,750
10617,153478,"Catena Zapata, Estiba Reservada",Catena Zapata,Argentina,Mendoza,,,,Blend,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY5,TANNIN5,243000,2009,750
10620,153484,Bellingham Mocha Java Merlot,DGB,the Republic of South Africa,,,,,Merlot,,,,,,,,,,,,Red,Table,13.5,16~18,SWEET3,ACIDITY4,BODY4,TANNIN4,35000,2012,750
10625,153490,"Cevico, Terre di Pozzo Amarone della Valpolicella Classico",Cevico,Italy,Veneto,Valpolicella,,,Corvina Veronese,Corvinone,Rondinella,,,,,,,,,,Red,Table,15~16,16~18,SWEET2,ACIDITY2,BODY5,TANNIN3,130000,2009,750
10626,153491,"Valturio, Solco",Valturio,Italy,,,,,Rebo,,,,,,,,,,,,Red,Table,13,16~18,SWEET1,ACIDITY4,BODY4,TANNIN3,120000,2008,750
10627,153492,"Valturio, CHIU",Valturio,Italy,Cabernet Sauvignon,,,,Merlot,,,,,,,,,,,,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY5,TANNIN4,180000,2009,750
10629,153494,"Le Grotte di Sileno, Sciupafemmine Aleatico ",Le Grotte di Sileno,Italy,Puglia,,,,Aleatico,,,,,,,,,,,,Red,Table,15.5,16~18,SWEET1,ACIDITY2,BODY4,TANNIN3,55000,2011,750
10630,153495,"Albert Bichot, Corton Grand Cru Clos des Marechaudes Monopole",Albert Bichot,France,Bourgogne,Cote de Beaune,AloxeCorton,,Pinot Noir,,,,,,,,,,,,Red,Table,13~14,16~18,SWEET1,ACIDITY4,BODY4,TANNIN3,360000,2013,750
10633,153498,"Borsaso Selection, Tinto",Borsao,Spain,,,,,Grenache,Syrah & Shiraz,Tempranillo,,,,,,,,,,Red,Table,14.5,16~18,SWEET2,ACIDITY3,BODY3,TANNIN2,19900,2012,750
10635,153500,"Borsao, Clasico Tinto",Borsao,Spain,Cabernet Sauvignon,,,,Grenache,Tempranillo,,,,,,,,,,,Red,Table,13.5,16~18,SWEET2,ACIDITY3,BODY3,TANNIN2,0,2012,750
10636,153501,"Borsao, Tres Pico ",Borsao,Spain,,,,,Grenache,,,,,,,,,,,,Red,Table,15,16~18,SWEET1,ACIDITY3,BODY3,TANNIN4,0,2011,750
10640,153505,"Carlo Rossi, Sweet Red",Gallo Family Vineyard  EJ Gallo Winery,USA,California,,,,Blend,,,,,,,,,,,,Red,Dessert,12.5~13.5,8~10,SWEET4,ACIDITY1,BODY2,TANNIN1,0,0,750
10644,153509,Gravas Del Maipo Syrah,Concha y Toro,Chile,Maipo Valley,,,,Syrah & Shiraz,Cabernet Sauvignon,,,,,,,,,,,Red,Table,14~15,16~18,SWEET1,ACIDITY4,BODY5,TANNIN4,400000,2015,750
10645,153510,Marques De Casa Concha Pinot Noir,Concha y Toro,Chile,Coquimbo,Limari Valley,,,Pinot Noir,,,,,,,,,,,,Red,Table,14~15,16~18,SWEET1,ACIDITY4,BODY3,TANNIN3,70000,2011,750
10647,153513,Chateau Malescasse,Chateau Malescasse,France,Bordeaux,HautMedoc,,,Cabernet Sauvignon,Merlot,Cabernet Franc,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY4,BODY4,TANNIN3,0,2009,750
10648,153524,Chateau Paloumey,Chateau Paloumey,France,Bordeaux,HautMedoc,,,Cabernet Sauvignon,Merlot,Cabernet Franc,,,,,,,,,,Red,Table,13~14,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,0,2018,750
10649,153526,Chateau Citran,Chateau Citran,France,Bordeaux,HautMedoc,,,Cabernet Sauvignon,Merlot,,,,,,,,,,,Red,Table,13~14,16~18,SWEET1,ACIDITY4,BODY3,TANNIN4,40000,2017,750
10650,153527,Oscar de Brillette,Chateau Brillette,France,Bordeaux,,,,Cabernet Sauvignon,Merlot,Cabernet Franc,Petit Verdot,,,,,,,,,Red,Table,,,SWEET1,ACIDITY4,BODY3,TANNIN4,60000,2009,750
10654,153535,1865 Selected Vineyard Carmenere,San Pedro,Chile,Maule Valley,,,,Carmenere,,,,,,,,,,,,Red,Table,14~15,16~18,SWEET1,ACIDITY4,BODY4,TANNIN4,55000,2016,750
10655,153537,1865 Selected Vineyard Malbec,San Pedro,Chile,Maule Valley,,,,Malbec,,,,,,,,,,,,Red,Table,14~15,16~18,SWEET1,ACIDITY4,BODY3,TANNIN3,55000,2016,750
10657,153539,1865 Selected Vineyard Syrah,San Pedro,Chile,Rapel Valley,,,,Syrah & Shiraz,,,,,,,,,,,,Red,Table,14~15,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,64000,2015,750
10658,153544,Moulins de Citran,Chateau Citran,France,Bordeaux,HautMedoc,,,Cabernet Sauvignon,Merlot,,,,,,,,,,,Red,Table,13~14,17~19,SWEET1,ACIDITY3,BODY3,TANNIN2,28000,2016,750
10659,153545,Carruades de Lafite,Chateau LafiteRothschild 1st Grand Cru Classe,France,Bordeaux,Pauillac,,,Cabernet Sauvignon,Merlot,Cabernet Franc,Petit Verdot,,,,,,,,,Red,Table,13~14,16~18,SWEET1,ACIDITY4,BODY5,TANNIN4,420000,2017,750
10660,153546,Larose de Gruaud,Chateau GruaudLarose Grand Cru Classe2nd Cru,France,Bordeaux,SaintJulien,,,Cabernet Sauvignon,Merlot,Cabernet Franc,Petit Verdot,,,,,,,,,Red,Table,13~14,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,50000,2018,750
10661,153552,Fancy Pants Red,Trinchero Family Estate,USA,California,Alameda County,San Francisco Bay,,Zinfandel,Merlot,Cabernet Sauvignon,,,,,,,,,,Red,Table,13.4,16~18,SWEET2,ACIDITY3,BODY3,TANNIN2,40000,2012,750
10662,153553,Fancy Pants Cabernet sauvignon,Trinchero Family Estate,USA,California,,,,Cabernet Sauvignon,,,,,,,,,,,,Red,Table,13.5,16~18,SWEET2,ACIDITY3,BODY3,TANNIN4,40000,2012,750
10664,153555,Terra d'Oro Amador county Zinfandel,Terra dOro,USA,California,Amador County,,,Zinfandel,,,,,,,,,,,,Red,Table,14.5,17~20,SWEET1,ACIDITY2,BODY4,TANNIN3,45000,2011,750
10665,153556,Montes Taita,Montes Vina Montes,Chile,Rapel Valley,Colchagua Valley,,,Cabernet Sauvignon,Carmenere,Syrah & Shiraz,,,,,,,,,,Red,Table,15,17~18,SWEET1,ACIDITY4,BODY5,TANNIN5,0,2015,750
10666,153558,"Domaine Mur Mur Ium, Syrah Sublime",Domaine MurMurIum,France,Rhone,Ventoux,,,Syrah & Shiraz,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY4,TANNIN4,99000,2009,750
10667,153559,"Domaine Mur-Mur-Ium, Cuvee Anne",Domaine MurMurIum,France,Rhone,Ventoux,,,Grenache,Syrah & Shiraz,,,,,,,,,,,Red,Table,14~15,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,85000,2016,750
10668,153560,"Domaine Mur Mur Ium, Le Retour Red",Domaine MurMurIum,France,Rhone,Ventoux,,,Grenache,Syrah & Shiraz,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY3,TANNIN3,60000,2014,750
10669,153561,"Domaine Mur Mur Ium, Ventoux Extrem",Domaine MurMurIum,France,Rhone,Ventoux,,,Grenache Noir,Syrah & Shiraz,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY4,TANNIN4,110000,2009,750
10672,153564,Mayu Don Amerigo Premium,Vina Mayu,Chile,Coquimbo,Elqui Valley,,,Cabernet Sauvignon,Syrah & Shiraz,Carmenere,,,,,,,,,,Red,Table,14.5,16~18,SWEET1,ACIDITY4,BODY4,TANNIN4,132000,2010,750
10675,153569,"Indomita, Gran Reserve Cabernet Sauvignon",Vina Maipo,Chile,Maipo Valley,,,,Cabernet Sauvignon,,,,,,,,,,,,Red,Table,14,16~18,SWEET1,ACIDITY3,BODY5,TANNIN4,38000,2012,750
10676,153570,"Casablanca, Indomita Gran Reserve Merlot",Vina Casablanca,Chile,Central Valley,,,,Merlot,,,,,,,,,,,,Red,Table,14,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,38000,2012,750
10678,153572,Indomita Premium Duette,Vina Maipo,Chile,Maipo Valley,,,,Cabernet Sauvignon,Carmenere,,,,,,,,,,,Red,Table,14.5,16~18,SWEET1,ACIDITY3,BODY5,TANNIN5,110000,2010,750
10679,153573,Indomita Ultra Premium Zardoz,Vina Maipo,Chile,Maipo Valley,,,,Cabernet Sauvignon,,,,,,,,,,,,Red,Table,14.5,16~18,SWEET1,ACIDITY3,BODY5,TANNIN5,145000,2011,750
10680,153574,"Domaine Jacques Caheux, Bourgogne Rouge Haut Cote de Nuits",Domaine Jacques Cacheux,France,Bourgogne,Cote de Nuits,Bourgogne Hautes Cotes de Nuits,,Pinot Noir,,,,,,,,,,,,Red,Table,12.5,18,SWEET1,ACIDITY5,BODY2,TANNIN2,0,2015,750
10681,153576,"Frank Family, Napa Valley Cabernet Sauvignon",Frank Family Vineyards,USA,California,Napa County,Napa Valley,,Cabernet Sauvignon,Merlot,Cabernet Franc,,,,,,,,,,Red,Table,14~15,16~18,SWEET1,ACIDITY4,BODY5,TANNIN4,220000,2018,750
10683,153579,Palacio del Carmen red,Bodegas Fernando Castro,Spain,La Mancha,,,,Tempranillo,,,,,,,,,,,,Red,Table,11,16~18,SWEET2,ACIDITY3,BODY3,TANNIN2,0,2015,750
10684,153580,Palacio del Carmen red semisweet,Bodegas Fernando Castro,Spain,La Mancha,,,,Tempranillo,,,,,,,,,,,,Red,Table,11,12~14,SWEET3,ACIDITY2,BODY3,TANNIN2,0,2015,750
10685,153583,"Louis Jadot, Beaujolais-Villages Primeur Non Filtre",Louis Jadot,France,Bourgogne,Beaujolais,,,Gamay,,,,,,,,,,,,Red,Table,12.5,14~16,SWEET1,ACIDITY3,BODY4,TANNIN2,29900,2018,750
10686,153584,"Louis Jadot, Beaujolais-Villages Primeur",Louis Jadot,France,Bourgogne,Beaujolais,,,Gamay,,,,,,,,,,,,Red,Table,12.5,14~16,SWEET2,ACIDITY3,BODY3,TANNIN2,27900,2018,750
10695,153593,Lagunilla Crianza,Bodegas Lagunilla,Spain,Rioja,,,,Tempranillo,,,,,,,,,,,,Red,Table,13.5,17,SWEET1,ACIDITY4,BODY3,TANNIN3,65000,2007,750
10696,153595,Lagunilla Gran Reserva,Bodegas Lagunilla,Spain,Rioja,,,,Tempranillo,Garnacha,,,,,,,,,,,Red,Table,14,18,SWEET1,ACIDITY4,BODY5,TANNIN3,110000,2005,750
10697,153598,"Berberana, Reserva Classico 1877",Bodegas Berberana,Spain,Mentrida,,,,Graciano,,,,,,,,,,,,Red,Table,13.5,18,SWEET1,ACIDITY3,BODY3,TANNIN3,50000,2006,750
10702,153604,Pirouette,Long Shadows,USA,Washington State,,,,Cabernet Sauvignon,Merlot,Petit Verdot,,,,,,,,,,Red,Table,14.9,17~19,SWEET1,ACIDITY4,BODY3,TANNIN4,180000,2010,750
10703,153605,Saggi,Long Shadows,USA,Washington State,,,,Sangiovese,Cabernet Sauvignon,Syrah & Shiraz,,,,,,,,,,Red,Table,14.6,14~16,SWEET1,ACIDITY4,BODY3,TANNIN4,180000,2009,750
10704,153609,"Castell del Remei, Sicoris",Castell del Remei,Spain,Costers del Segre,,,,Garnacha,Cabernet Sauvignon,Tempranillo,Syrah & Shiraz,Merlot,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY2,TANNIN3,0,2010,750
10705,153610,"Domaine du Pegau, Chateauneuf du Pape 'Cuvee Da Capo'",Domaine du Pegau,France,Rhone,ChateauneufduPape,,,Grenache,Syrah & Shiraz,mourvedre,Cinsault,Vaccarese,Terret Noir,Counoise,Picpoul,Bourboulenc,Rousaanne,Muscardin,Picardan,Red,Table,15.5,18~20,SWEET1,ACIDITY4,BODY4,TANNIN4,0,2015,750
10718,153625,"Farmer?쾠 Table Wines, Meritage",Farmers Table Wines,USA,California,San Joaquin County,,,Zinfandel,Merlot,Cabernet Franc,Cabernet Sauvignon,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY5,TANNIN4,38000,2017,750
10719,153626,"Farmer's Table Wines, Cabernet Sauvignon",Farmers Table Wines,USA,California,San Joaquin County,,,Cabernet Sauvignon,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY5,TANNIN3,48000,2017,750
10720,153628,Textbook Napa Cabernet Sauvignon,Textbook,USA,California,Napa County,Napa Valley,,Cabernet Sauvignon,Merlot,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY5,TANNIN3,112000,2017,750
10721,153629,75 Wine Vinifera,Tuck Beckstoffer Wines,USA,California,Napa County,Napa Valley,,Cabernet Sauvignon,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY5,TANNIN3,0,2006,750
10722,153630,"Philip Togni Vineyard, Tanbark Hill",Philip Togni,USA,California,Napa County,Napa Valley,,Cabernet Sauvignon,Merlot,Petit Verdot,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY5,TANNIN4,162000,2010,750
10723,153631,"World's End, If six was nine reserve",Worlds End Winery,USA,California,Napa County,Napa Valley,,Cabernet Sauvignon,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY4,TANNIN5,192000,2010,750
10724,153632,"Pahlmeyer, Jayson Red Wine",Pahlmeyer,USA,California,Napa County,Napa Valley,,Cabernet Sauvignon,Merlot,Cabernet Franc,Malbec,Petit Verdot,,,,,,,,Red,Table,14~15,16~18,SWEET1,ACIDITY3,BODY5,TANNIN4,300000,2016,750
10725,153633,"Textbook, Page Turner Oakville",Textbook,USA,California,Napa County,Oakville,,Merlot,Cabernet Sauvignon,Cabernet Franc,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY4,BODY5,TANNIN4,320000,2016,750
10726,153634,"Favia, Leviathan",Favia Erickson Winegrowers,USA,California,,,,Cabernet Sauvignon,Merlot,Syrah & Shiraz,Petite Sirah,Cabernet Franc,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY5,TANNIN5,149000,2017,750
10727,153636,"Krupp Brothers, Cabernet Sauvignon",Krupp Brothers Estate,USA,California,Napa County,Napa Valley,,Cabernet Sauvignon,Cabernet Franc,Petit Verdot,Merlot,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY5,TANNIN5,0,2006,750
10728,153637,"Philip Togni, Cabernet Sauvignon",Philip Togni,USA,California,Napa County,Napa Valley,,Cabernet Sauvignon,Merlot,Petit Verdot,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY5,TANNIN5,430000,2014,750
10729,153638,"Pahlmeyer, Red Wine",Pahlmeyer,USA,California,Napa County,Napa Valley,,Cabernet Sauvignon,Merlot,Malbec,Cabernet Franc,Petit Verdot,,,,,,,,Red,Table,15,16~18,SWEET1,ACIDITY3,BODY5,TANNIN5,600000,2014,750
10730,153639,Chateau Campredon,LGI Wines,France,Southern France,Languedoc Roussillon,,,Syrah & Shiraz,Grenache Noir,,,,,,,,,,,Red,Table,13.5,18,SWEET1,ACIDITY3,BODY5,TANNIN3,55000,2012,750
10733,153645,Black Stallion Barrel Reserve Cabernet Sauvignon,Delicato Family Vineyards  DFV,USA,California,Napa County,Napa Valley,,Cabernet Sauvignon,Merlot,,,,,,,,,,,Red,Table,15.5,16~18,SWEET1,ACIDITY3,BODY5,TANNIN5,750000,2013,750
10736,153653,"Manoir Grignon, Cabernet Syrah",LGI Wines,France,Southern France,Languedoc Roussillon,,,Cabernet Sauvignon,Syrah & Shiraz,,,,,,,,,,,Red,Table,13.5,17~18,SWEET1,ACIDITY3,BODY4,TANNIN3,50000,2017,750
10737,153655,Chateau Farizeau,Val Dorbieu,France,Bordeaux,,,,Merlot,Cabernet Franc,Malbec,,,,,,,,,,Red,Table,12.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN2,0,2011,750
10738,153656,SMG Syrah,De Aguirre Family,Chile,Central Valley,,,,Syrah & Shiraz,,,,,,,,,,,,Red,Table,13,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,35000,2013,750
